sample,mass_bin,count
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,300–400,0.0079181917808219
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,400–500,0.0090786164383561
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,500–600,0.0088738356164383
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,600–700,0.0131059726027397
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,700–800,0.0142663972602739
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,800–900,0.0131742328767123
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,900–1000,0.0181572328767123
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4100_13p6TeV,1000–inf,0.2838944794520547
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,300–400,0.0146558181818181
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,400–500,0.0113318181818181
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,500–600,0.0146558181818181
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,600–700,0.021606
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,700–800,0.0246278181818181
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,800–900,0.0359596363636363
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,900–1000,0.029764909090909
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-3300_13p6TeV,1000–inf,0.9763494545454546
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,300–400,0.000525708
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,400–500,0.000649404
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,500–600,0.000631365
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,600–700,0.000605595
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,700–800,0.00074733
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,800–900,0.000631365
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,900–1000,0.000613326
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-4900_13p6TeV,1000–inf,0.00368511
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,300–400,1.7051552542372883
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,400–500,2.1811200000000004
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,500–600,2.3613396610169497
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,600–700,3.16077559322034
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,700–800,3.3964474576271195
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,800–900,3.927864406779662
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,900–1000,3.733781694915255
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2100_13p6TeV,1000–inf,26.566226440677973
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,300–400,0.0189421052631578
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,400–500,0.0176161578947368
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,500–600,0.0227305263157894
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,600–700,0.0287919999999999
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,700–800,0.0339063684210526
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,800–900,0.0242458947368421
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,900–1000,0.0299285263157894
result_WRtoNMutoMuMuTB-HadTop_MWR-5000_MN-2500_13p6TeV,1000–inf,1.598903105263158
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,300–400,0.1808583
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,400–500,0.1553621999999999
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,500–600,0.1587915
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,600–700,0.129717
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,700–800,0.0861798
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,800–900,0.0544215
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,900–1000,0.0495011999999999
result_WRtoNMutoMuMuTB-HadTop_MWR-3000_MN-2900_13p6TeV,1000–inf,0.1601333999999999
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,300–400,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,400–500,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,500–600,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,600–700,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,700–800,1.156039603960396
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,800–900,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,900–1000,0.0
result_WRtoNMutoMuMuTB-HadTop_MWR-1000_MN-700_13p6TeV,1000–inf,1.156039603960396
